ТЕННИС — ОДИНОЧНЫЕ СТАВКИ ИЗ СКРИНШОТОВ
Экспрессы и события не из тенниса исключены.
Формат: дата | время | игроки | пари | ставка | коэффициент
========================================================================================================================

--- 7 ИЮЛЯ ---
7 июля | 22:15 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 2-й гейм: 3-е очко: П2 | 920 ₽ | 3.10
7 июля | 22:19 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 3-й гейм: Исход первых 2 очков: П1 | 250 ₽ | 9.25
7 июля | 22:24 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 4-й гейм: Исход первых 2 очков: П2 | 250 ₽ | 10.00
7 июля | 22:24 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 4-й гейм: 5-е очко: П2 | 500 ₽ | 3.00
7 июля | 22:27 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 5-й гейм: 3-е очко: П1 | 975 ₽ | 2.90
7 июля | 22:34 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 7-й гейм: Исход первых 2 очков: П1 | 500 ₽ | 9.25
7 июля | 22:40 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 8-й гейм: 4-е очко: П2 | 500 ₽ | 2.75
7 июля | 22:43 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 9-й гейм: 2-е очко: П1 | 500 ₽ | 2.90
7 июля | 22:43 | Оже-Альяссим Ф. — Джокович Н. | 3-й сет, 9-й гейм: 3-е очко: П1 | 500 ₽ | 2.90
7 июля | 22:53 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 2-й гейм: Исход первых 2 очков: П1 | 500 ₽ | 9.75
7 июля | 22:53 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 2-й гейм: 3-е очко: П1 | 500 ₽ | 2.90
7 июля | 22:56 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 3-й гейм: 2-е очко: П2 | 1 000 ₽ | 2.55
7 июля | 22:56 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 3-й гейм: 4-е очко: П2 | 500 ₽ | 2.55
7 июля | 23:05 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 5-й гейм: 3-е очко: П2 | 1 000 ₽ | 2.75
7 июля | 23:05 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 5-й гейм: 8-е очко: П2 | 1 500 ₽ | 2.75
7 июля | 23:10 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 6-й гейм: 2-е очко: П1 | 2 225 ₽ | 2.80
7 июля | 23:10 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 6-й гейм: Исход первых 2 очков: П1 | 1 000 ₽ | 9.00
7 июля | 23:10 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 6-й гейм: 5-е очко: П1 | 1 500 ₽ | 2.85
7 июля | 23:10 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет: Сделает 1-й эйс: Не будет | 200 ₽ | 55.00
7 июля | 23:13 | Оже-Альяссим Ф. — Джокович Н. | 4-й сет, 7-й гейм: Исход первых 2 очков: П2 | 2 750 ₽ | 8.75
